GREEN ST                      ,SIDNEY ST                     ,1
HAMP                          ,BROA                          ,1
HAMPSHIRE                     ,BROADWAY                      ,1
BROOKLINE ST                  ,GREEN ST                      ,1
CAMBRIDGE CTR                 ,BROADWAY                      ,1
CAMBRIDGE                     ,THIRD                         ,1
JFK                           ,BRATTLE                       ,1
JFK                           ,MASSACHUSETTS AVE             ,1
JFK ST                        ,WINTHROP ST                   ,1
LAFAYETTE SQ                  , ,1
LANGDON ST                    ,MASSACHUSETTS AVE             ,1
HAMPSHIRE                     ,WINDSOR                       ,1
LEE ST                        ,MASSACHUSETTS AVE             ,1
BROOKLINE ST                  ,ERIE ST                       ,1
BROOKLINE ST,MASSACHUSETTS AVE,1
BROOKLINE                     ,MASS AVE                      ,1
BROADWAY ST                   ,FAYETTE ST                    ,1
LINDEN ST                     ,MASSACHUSETTS AVE             ,1
HURON AVE                     ,RESERVOIR ST                  ,1
CAMBRIDGE ST,HAMPSHIRE ST,1
CAMBRIDGE ST,HUNTING ST,1
CAMBRIDGE ST,SIXTH ST,1
CAMBRIDGE ST,WARREN ST,1
HOWARD ST                     ,RIVER ST                      ,1
HOMER AVE                     ,MT AUBURN ST                  ,1
HOLYOKE ST,MT AUBURN ST,1
HARVARD ST                    ,TROWBRIDGE ST                 ,1
HARVARD ST                    ,QUINCY ST                     ,1
HARVARD ST                    ,NORFOLK ST                    ,1
CAMBRIDGE ST                  ,LAMBERT ST                    ,1
CAMBRIDGE ST                  ,OAK ST                        ,1
HARVARD ST,LEE ST,1
HAMPSHIRE ST                  ,INMAN ST                      ,1
HAMPSHIRE ST                  , ,1
CAMBRIDGE ST                  ,SEVENTH ST                    ,1
VASSAR                        ,MASSACHUSETTS AVE             ,1
