Citation Number,Date Time Issued,Street Number,Street Name,Cross Street,Charge Code,Charge Description
R7715885,5/10/16 9:40,,MASSACHUSETTS AVE,SHEPARD ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715886,5/10/16 9:50,,MASSACHUSETTS AVE,SHEPARD ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715887,5/10/16 10:00,,MASSACHUSETTS AVE,SHEPARD ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715888,5/10/16 10:05,,MASSACHUSETTS AVE,SHEPARD ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715890,5/10/16 10:20,,MASSACHUSETTS AVE,SHEPARD ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715892,5/10/16 10:35,,MASSACHUSETTS AVE,SHEPARD ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715893,5/10/16 11:00,,MASSACHUSETTS AVE,SHEPARD ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715815,5/10/16 12:30,50,BROADWAY,,85/11B,BICYCLE VIOLATION c85 S11B
R6811485,5/10/16 14:58,,INMAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R6811485,5/10/16 14:58,,INMAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R6775217,5/11/16 16:00,,ELIOT ST,MT AUBURN ST,85/11B,BICYCLE VIOLATION c85 S11B
R7118801,5/11/16 16:59,,ELIOT ST,MT AUBURN ST,85/11B,BICYCLE VIOLATION c85 S11B
R7118803,5/11/16 17:00,,ELIOT ST,MT AUBURN ST,85/11B,BICYCLE VIOLATION c85 S11B
R6428005,5/12/16 8:08,,CAMBRIDGE ST,HAMPSHIRE ST,85/11B,BICYCLE VIOLATION c85 S11B
R7121432,5/12/16 12:35,,MASSACHUSETTS AVE,ROSELAND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715898,5/12/16 12:35,,MASSACHUSETTS AVE,ROSELAND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715899,5/12/16 12:55,,MASSACHUSETTS AVE,ROSELAND ST,85/11B,BICYCLE VIOLATION c85 S11B
R5509047,5/13/16 12:30,,MASSACHUSETTS AVE,SIDNEY ST,85/11B,BICYCLE VIOLATION c85 S11B
R5509048,5/13/16 12:35,,MASSACHUSETTS AVE,SIDNEY ST,85/11B,BICYCLE VIOLATION c85 S11B
R5509052,5/13/16 13:10,,MASSACHUSETTS AVE,PEARL ST,85/11B,BICYCLE VIOLATION c85 S11B
R7121433,5/16/16 9:30,,MASSACHUSETTS AVE,ROSELAND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715596,5/16/16 11:35,,CAMBRIDGE ST,FIRST ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715596,5/16/16 11:35,,CAMBRIDGE ST,FIRST ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715596,5/16/16 11:35,,CAMBRIDGE ST,FIRST ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715598,5/16/16 12:10,,INMAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7715598,5/16/16 12:10,,INMAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R5509058,5/17/16 11:40,,INMAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7721643,5/17/16 12:00,,LINNAEAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7721644,5/17/16 12:25,,BEECH ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
